Россия,Европа,Москва,17098242,144104080
Канада,Северная Америка,Оттава,9984670,38008005
Китай,Азия,Пекин,9596961,1402112324
США,Северная Америка,Вашингтон,9372610,331893745
Бразилия,Южная Америка,Бразилиа,8515767,213993437
Австралия,Австралия,Канберра,7692024,25788225
Индия,Азия,Нью-Дели,3287263,1393409038
Аргентина,Южная Америка,Буэнос-Айрес,2780400,45605829
Казахстан,Азия,Нур-Султан,2724900,18754440
Алжир,Африка,Алжир,2381741,44700000
Демократическая Республика Конго,Африка,Киншаса,2344858,92409501
Гренландия,Северная Америка,Нуук,2166086,56375
Саудовская Аравия,Азия,Эр-Рияд,2149690,35345214
Мексика,Северная Америка,Мехико,1964375,128932753
Индонезия,Азия,Джакарта,1904569,276361783
Судан,Африка,Хартум,1886068,45000000
Ливия,Африка,Триполи,1759540,6871292
Иран,Азия,Тегеран,1648195,85028759
Монголия,Азия,Улан-Батор,1564116,3303796
Перу,Южная Америка,Лима,1285216,33296434
Чад,Африка,Нджамена,1284000,16425864
Нигер,Африка,Ниамей,1267000,25130817
Ангола,Африка,Луанда,1246700,32866272
Мали,Африка,Бамако,1240192,20250833
Южная Африка,Африка,Претория,1221037,60041994
Колумбия,Южная Америка,Богота,1141748,50882884
Эфиопия,Африка,Аддис-Абеба,1104300,114963588
Боливия,Южная Америка,Ла-Пас,1098581,11673021
Мавритания,Африка,Нуакшот,1030700,4649658
Египет,Африка,Каир,1002450,102334404
Танзания,Африка,Додома,945087,59734218
Нигерия,Африка,Абуджа,923768,206139586
Венесуэла,Южная Америка,Каракас,916445,28440299
Пакистан,Азия,Исламабад,881912,225199937
Намибия,Африка,Виндхук,825615,2540905
Мозамбик,Африка,Мапуту,801590,31845368
Турция,Азия,Анкара,783356,84339067
Чили,Южная Америка,Сантьяго,756096,19116201
Замбия,Африка,Лусака,752618,18383955
Мьянма,Азия,Нейпьидо,676578,54409800
Афганистан,Азия,Кабул,652230,38928341
Южный Судан,Африка,Джуба,644329,11193725
Франция,Европа,Париж,640679,67391582
Сомали,Африка,Могадишо,637657,15893222
Центральноафриканская Республика,Африка,Банги,622984,4829767
Украина,Европа,Киев,603628,41167335
Мадагаскар,Африка,Антананариву,587041,27691018
Кения,Африка,Найроби,580367,53771296
Йемен,Азия,Сана,527968,29825968
Таиланд,Азия,Бангкок,513120,69799978
Туркменистан,Азия,Ашхабад,488100,6031187
Камерун,Африка,Яунде,475442,26545864
Папуа-Новая Гвинея,Океания,Порт-Морсби,462840,8947024
Швеция,Европа,Стокгольм,450295,10353442
Узбекистан,Азия,Ташкент,447400,34232200
Марокко,Африка,Рабат,446550,36910560
Ирак,Азия,Багдад,438317,40222493
Парагвай,Южная Америка,Асунсьон,406752,7359003
Замбия,Африка,Лусака,390757,18383955
Германия,Европа,Берлин,357022,83166711
Япония,Азия,Токио,377975,125816909
Финляндия,Европа,Хельсинки,338424,5530719
Норвегия,Европа,Осло,323802,5421241
Филиппины,Азия,Манила,300000,110818325
Италия,Европа,Рим,301340,59359900
Новая Зеландия,Океания,Веллингтон,268021,4822233
Великобритания,Европа,Лондон,242495,67215293
Румыния,Европа,Бухарест,238391,19286123
Гвинея,Африка,Конакри,245857,13132795
Эквадор,Южная Америка,Кито,283561,17642577
Сирия,Азия,Дамаск,185180,17500658
Буркина-Фасо,Африка,Уагадугу,274200,20903273
Малави,Африка,Лилонгве,118484,19164728
Мали,Африка,Бамако,1240192,20250833
Сенегал,Африка,Дакар,196712,16743927
Тунис,Африка,Тунис,163610,11818619
Бельгия,Европа,Брюссель,30528,11582808
Нидерланды,Европа,Амстердам,41543,17441847
Швейцария,Европа,Берн,41285,8654622
Португалия,Европа,Лиссабон,92090,10276617
Австрия,Европа,Вена,83871,8902642
Венгрия,Европа,Будапешт,93030,9660351
Чехия,Европа,Прага,78867,10708981
Сербия,Европа,Белград,88361,6908224
Беларусь,Европа,Минск,207595,9449323
Болгария,Европа,София,110994,6948445
Словакия,Европа,Братислава,49035,5459642
Хорватия,Европа,Загреб,56594,4047200
Босния и Герцеговина,Европа,Сараево,51197,3280819
Албания,Европа,Тирана,28748,2877797
Словения,Европа,Любляна,20273,2077863
Черногория,Европа,Подгорица,13812,628066
Северная Македония,Европа,Скопье,25713,2083374
Молдова,Европа,Кишинев,33851,2631637
Литва,Европа,Вильнюс,65300,2794700
Латвия,Европа,Рига,64589,1906743
